iter	Logloss
0	0.6632400292
1	0.6348385893
2	0.6075856856
3	0.5802256359
4	0.5548301931
5	0.5278725554
6	0.5025906977
7	0.4800744586
8	0.4582891811
9	0.4367348882
10	0.4149327438
11	0.396308891
12	0.3763648652
13	0.3607381349
14	0.3434045847
15	0.3254399202
16	0.308642704
17	0.2931539861
18	0.279791629
19	0.2665782908
20	0.2549712154
21	0.2424000818
22	0.230309742
23	0.2193804519
24	0.2090687237
25	0.1984642593
26	0.1892886762
27	0.1802178006
28	0.1726614315
29	0.1651908799
30	0.157007296
31	0.1494170273
32	0.1428056334
33	0.1363838609
34	0.1297264784
35	0.1237470974
36	0.1184483768
37	0.1135852353
38	0.1087853366
39	0.1043119581
40	0.09986504507
41	0.09520140376
42	0.09095865486
43	0.08694585923
44	0.08349677426
45	0.07995414892
46	0.07670188545
47	0.07367519031
48	0.07099029338
49	0.06809300792
50	0.06537566372
51	0.0625859048
52	0.06008425302
53	0.05795953967
54	0.05585395991
55	0.05356000237
56	0.05154770878
57	0.04955235083
58	0.04786963723
59	0.0460441574
60	0.04427682772
61	0.0427256446
62	0.04117069551
63	0.03981427261
64	0.03850676294
65	0.03722812458
66	0.03603140848
67	0.03485360015
68	0.03360371513
69	0.03250255316
70	0.03148771032
71	0.03044934704
72	0.02951563686
73	0.0286288833
74	0.02786087892
75	0.02714985963
76	0.0263859024
77	0.02569589457
78	0.02489965665
79	0.02423999478
80	0.02357617852
81	0.02297656334
82	0.02237372094
83	0.02181494745
84	0.02125561577
85	0.02071227504
86	0.02018684354
87	0.01970998054
88	0.01922826004
89	0.01878865172
90	0.01830483917
91	0.01793670183
92	0.01751288002
93	0.01715052411
94	0.0168166558
95	0.0164683989
96	0.01612119734
97	0.01579337929
98	0.01546775735
99	0.01518297033
