iter	Passed	Remaining
0	23	2287
1	45	2226
2	67	2175
3	89	2139
4	110	2097
5	131	2065
6	153	2035
7	156	1803
8	178	1805
9	199	1794
10	220	1786
11	229	1682
12	246	1649
13	267	1643
14	289	1640
15	310	1631
16	333	1627
17	354	1616
18	376	1605
19	382	1529
20	405	1525
21	423	1499
22	443	1486
23	465	1475
24	487	1462
25	510	1452
26	531	1437
27	553	1423
28	575	1408
29	581	1356
30	603	1342
31	624	1326
32	645	1310
33	667	1295
34	688	1278
35	710	1262
36	731	1245
37	752	1228
38	774	1211
39	796	1194
40	818	1177
41	839	1159
42	861	1142
43	882	1123
44	904	1105
45	926	1087
46	947	1068
47	969	1050
48	993	1033
49	1015	1015
50	1037	996
51	1059	977
52	1081	958
53	1103	939
54	1125	921
55	1147	901
56	1168	881
57	1177	852
58	1181	821
59	1203	802
60	1224	782
61	1247	764
62	1269	745
63	1291	726
64	1313	707
65	1335	687
66	1357	668
67	1379	649
68	1400	629
69	1422	609
70	1444	589
71	1466	570
72	1487	550
73	1504	528
74	1526	508
75	1547	488
76	1568	468
77	1590	448
78	1612	428
79	1634	408
80	1656	388
81	1678	368
82	1700	348
83	1721	327
84	1743	307
85	1765	287
86	1787	267
87	1809	246
88	1831	226
89	1853	205
90	1875	185
91	1896	164
92	1919	144
93	1940	123
94	1961	103
95	1983	82
96	2004	62
97	2026	41
98	2048	20
99	2069	0
