iter	RMSE
0	30.20489237
1	27.92571216
2	25.91271905
3	24.10199386
4	22.50391067
5	21.05572796
6	19.77074317
7	18.63235004
8	17.59158262
9	16.74892709
10	15.96997976
11	15.25963302
12	14.64092408
13	14.05631984
14	13.55934499
15	13.09768216
16	12.70760293
17	12.34752094
18	12.02794882
19	11.72678334
20	11.45995835
21	11.19952121
22	11.00554426
23	10.75434501
24	10.55069667
25	10.33877365
26	10.14846569
27	10.04672416
28	9.885106926
29	9.748223076
30	9.608641743
31	9.498447038
32	9.382006333
33	9.241945129
34	9.030668309
35	8.827565269
36	8.70049664
37	8.594431766
38	8.471792517
39	8.364131651
40	8.296732041
41	8.206447979
42	8.117100195
43	8.048292612
44	7.987323243
45	7.920228027
46	7.854887407
47	7.81473475
48	7.745164447
49	7.678360928
50	7.662432278
51	7.616272305
52	7.563620747
53	7.541873318
54	7.500008752
55	7.457613139
56	7.40297111
57	7.364686185
58	7.314657813
59	7.270165045
60	7.227831591
61	7.175295323
62	7.146090355
63	7.10398946
64	7.06438472
65	7.009470761
66	6.982085598
67	6.969477561
68	6.939580895
69	6.887699253
70	6.867889814
71	6.81933194
72	6.784283264
73	6.766950391
74	6.75147429
75	6.718975857
76	6.697697441
77	6.693505037
78	6.672592327
79	6.644754322
80	6.634432186
81	6.602997609
82	6.571535085
83	6.534734159
84	6.494440897
85	6.477671449
86	6.467408169
87	6.44023409
88	6.392445966
89	6.36853041
90	6.340889937
91	6.306486391
92	6.274147211
93	6.245995063
94	6.227693401
95	6.207668012
96	6.171046662
97	6.155307054
98	6.133594104
99	6.105982347
100	6.084218756
101	6.05524056
102	6.033165671
103	6.01994901
104	5.995872547
105	5.981879457
106	5.964147537
107	5.920282069
108	5.886565685
109	5.864715486
110	5.844564082
111	5.823097934
112	5.805294575
113	5.786038764
114	5.76274017
115	5.749168134
116	5.725194295
117	5.710677223
118	5.693718662
119	5.662632025
120	5.646711352
121	5.639557229
122	5.629984816
123	5.607211412
124	5.597919316
125	5.59033456
