iter	Passed	Remaining
0	18	27941
1	34	25974
2	48	23981
3	59	22268
4	72	21591
5	83	20849
6	96	20521
7	107	20064
8	118	19703
9	128	19169
10	141	19170
11	158	19704
12	167	19184
13	177	18882
14	189	18755
15	201	18663
16	213	18593
17	225	18587
18	239	18706
19	257	19020
20	269	18951
21	281	18899
22	292	18769
23	302	18627
24	318	18791
25	369	20942
26	396	21616
27	420	22095
28	441	22376
29	468	22980
30	488	23144
31	503	23120
32	524	23325
33	541	23359
34	563	23596
35	574	23365
36	588	23263
37	601	23145
38	615	23073
39	630	23001
40	648	23077
41	664	23061
42	677	22939
43	691	22873
44	706	22847
45	720	22762
46	740	22877
47	755	22858
48	769	22785
49	785	22765
50	791	22491
51	812	22624
52	830	22674
53	841	22545
54	857	22526
55	871	22478
56	888	22500
57	904	22477
58	931	22759
59	947	22747
60	965	22776
61	981	22755
62	996	22725
63	1010	22677
64	1022	22583
65	1036	22519
66	1051	22494
67	1075	22639
68	1088	22584
69	1103	22533
70	1116	22462
71	1133	22479
72	1152	22536
73	1167	22493
74	1182	22461
75	1203	22541
76	1218	22522
77	1225	22344
78	1239	22300
79	1258	22330
80	1270	22259
81	1285	22228
82	1303	22247
83	1323	22303
84	1340	22316
85	1362	22409
86	1383	22474
87	1398	22436
88	1412	22401
89	1426	22342
90	1441	22316
91	1452	22230
92	1472	22279
93	1507	22546
94	1555	23003
95	1602	23443
96	1648	23840
97	1690	24177
98	1707	24167
99	1723	24128
100	1741	24121
101	1760	24135
102	1776	24088
103	1789	24019
104	1805	23993
105	1823	23980
106	1847	24046
107	1864	24034
108	1877	23958
109	1894	23934
110	1910	23910
111	1926	23870
112	1945	23875
113	1962	23861
114	1986	23924
115	2005	23923
116	2021	23894
117	2039	23884
118	2055	23859
119	2070	23812
120	2092	23848
121	2108	23818
122	2122	23767
123	2138	23733
124	2151	23667
125	2162	23583
126	2175	23518
127	2189	23472
128	2204	23428
129	2217	23374
130	2234	23346
131	2243	23255
132	2259	23221
133	2271	23152
134	2284	23102
135	2298	23057
136	2314	23025
137	2327	22971
138	2343	22943
139	2354	22872
140	2368	22831
141	2381	22776
142	2392	22700
143	2407	22674
144	2422	22637
145	2435	22587
146	2446	22513
147	2456	22444
148	2468	22381
149	2480	22321
150	2492	22265
151	2504	22207
152	2511	22107
153	2522	22049
154	2539	22034
155	2551	21980
156	2564	21935
157	2571	21842
158	2582	21781
159	2598	21762
160	2608	21690
161	2621	21655
162	2637	21636
163	2650	21589
164	2661	21535
165	2677	21519
166	2694	21511
167	2714	21524
168	2745	21623
169	2776	21722
170	2801	21772
171	2824	21805
172	2842	21806
173	2854	21756
174	2876	21777
175	2890	21742
176	2919	21824
177	2934	21795
178	2945	21740
179	2961	21720
180	2982	21737
181	2997	21708
182	3010	21669
183	3024	21631
184	3041	21617
185	3056	21589
186	3067	21535
187	3077	21474
188	3088	21423
189	3103	21400
190	3118	21369
191	3130	21326
192	3142	21282
193	3151	21215
194	3162	21167
195	3173	21116
196	3188	21088
197	3197	21024
198	3210	20986
199	3221	20938
200	3234	20901
201	3247	20868
202	3254	20792
203	3265	20744
204	3272	20674
205	3280	20603
206	3292	20568
207	3304	20525
208	3317	20489
209	3328	20448
210	3340	20405
211	3353	20371
212	3367	20345
213	3375	20283
214	3386	20239
215	3398	20204
216	3409	20157
217	3422	20128
218	3437	20109
219	3444	20043
220	3452	19983
221	3460	19919
222	3472	19886
223	3487	19863
224	3498	19827
225	3513	19804
226	3522	19751
227	3532	19707
228	3546	19683
229	3559	19655
230	3572	19623
231	3587	19604
232	3601	19585
233	3612	19543
234	3625	19515
235	3634	19464
236	3649	19446
237	3660	19411
238	3670	19368
239	3684	19341
240	3704	19350
241	3718	19329
242	3737	19331
243	3758	19345
244	3774	19332
245	3791	19325
246	3807	19312
247	3830	19338
248	3847	19330
249	3865	19327
250	3880	19310
251	3894	19287
252	3911	19278
253	3927	19265
254	3942	19246
255	3957	19229
256	3984	19272
257	4009	19299
258	4034	19330
259	4070	19414
260	4096	19447
261	4113	19439
262	4132	19435
263	4149	19428
264	4162	19397
265	4176	19375
266	4189	19348
267	4203	19324
268	4223	19329
269	4236	19297
270	4253	19288
271	4269	19275
272	4286	19264
273	4308	19279
274	4327	19276
275	4343	19263
276	4361	19254
277	4377	19241
278	4400	19256
279	4424	19276
280	4435	19243
281	4452	19232
282	4468	19214
283	4483	19197
284	4503	19201
285	4521	19193
286	4536	19175
287	4551	19152
288	4566	19133
289	4580	19113
290	4600	19114
291	4617	19101
292	4635	19095
293	4657	19105
294	4674	19096
295	4700	19120
296	4713	19094
297	4731	19085
298	4748	19074
299	4766	19066
300	4783	19055
301	4797	19030
302	4812	19013
303	4831	19007
304	4851	19008
305	4869	19000
306	4884	18979
307	4898	18956
308	4911	18930
309	4926	18912
310	4941	18893
311	4959	18886
312	4975	18867
313	4993	18861
314	5010	18848
315	5025	18828
316	5041	18813
317	5058	18803
318	5094	18861
319	5122	18889
320	5146	18900
321	5168	18907
322	5181	18881
323	5195	18856
324	5204	18818
325	5217	18789
326	5228	18755
327	5246	18746
328	5257	18713
329	5268	18679
330	5280	18650
331	5292	18618
332	5308	18602
333	5320	18574
334	5334	18551
335	5349	18533
336	5361	18501
337	5372	18469
338	5385	18443
339	5397	18416
340	5408	18381
341	5418	18346
342	5429	18314
343	5441	18286
344	5453	18258
345	5468	18237
346	5480	18209
347	5492	18183
348	5506	18161
349	5518	18131
350	5530	18105
351	5545	18086
352	5558	18059
353	5571	18037
354	5584	18011
355	5596	17983
356	5607	17951
357	5618	17921
358	5631	17898
359	5644	17874
360	5658	17851
361	5669	17824
362	5684	17804
363	5696	17777
364	5706	17745
365	5719	17722
366	5731	17695
367	5745	17672
368	5755	17640
369	5768	17617
370	5780	17591
371	5791	17561
372	5804	17536
373	5818	17516
374	5829	17487
375	5835	17445
376	5850	17426
377	5863	17403
378	5877	17384
379	5891	17363
380	5906	17347
381	5916	17316
382	5929	17293
383	5943	17273
384	5952	17239
385	5964	17214
386	5972	17176
387	5986	17155
388	5998	17130
389	6012	17112
390	6027	17094
391	6042	17079
392	6054	17054
393	6066	17030
394	6079	17005
395	6091	16983
396	6105	16962
397	6118	16940
398	6131	16918
399	6145	16900
400	6159	16880
401	6175	16867
402	6195	16864
403	6211	16850
404	6229	16843
405	6241	16819
